track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,59,,626.0926553896641,395.0974832976656,,,,,624.43317734127,440.2094087931322,,639.1570376444183,533.818818615111,
,81,,643.6361819712345,379.5589311825605,,629.0663031215363,306.53169964236963,,641.4754603062241,430.68578007742263,,,,
,90,,660.6784649361884,377.052713099479,,,,,646.4878964723871,424.6708566780271,,611.0873951139057,513.7690739504592,
,112,,699.2742234156433,348.98307056896635,,773.4244647070296,276.95832626200814,,659.5202305044107,371.5390333166997,,,,
,120,,712.8078010642832,345.9756088692685,,,,,665.5351539038063,352.4917758852805,,570.4866621679857,365.4009634320355,
,143,,798.6081656527408,319.34790951422997,,,,,773.3139370075337,276.41263487088474,,712.0783968336668,208.1707386689508,
,152,,840.4516932106585,307.9360383620706,,843.1636773035591,373.3252382135762,,818.1160978271223,264.1554399296765,,,,
,166,,900.4696822331264,293.5655339482403,,,,,887.8553104236519,245.98097846512638,,849.8661744486283,168.86318247817965,
,175,,951.2296402145059,284.92554110034587,,924.163610252569,358.92525013375223,,944.3752636369611,235.18098740525835,,,,
,187,,1013.5095886597447,277.0055476564427,,,,,1014.9352052280988,232.30098978929354,,998.1860516708156,160.58318933228085,
,199,,1091.0863613480774,282.4021927130224,,1040.5287692850677,363.64731455825944,,1087.7899134919242,233.65015105343844,,,,
